About,A Propos,
Details,Détails,
First Name,Prénom,
Frappe Support,Support Frappe,
Hold,Mettre en attente,
Keyboard Shortcuts,Raccourcis clavier,
Last Name,Nom de Famille,
Workflow State,État du Workflow,
